timestamps population node_ids
63.827 v1 0
1733.009 v1 223
1755.641 v1 223
1770.644 v1 223
1797.108 v1 223
1818.106 v1 223
1849.23 v1 223
1860.879 v1 223
1876.611 v1 223
1902.719 v1 223
1949.081 v1 223
1980.499 v1 223
1992.008 v1 223
1723.205 v1 223
2005.399 v1 223
2051.602 v1 223
2075.812 v1 223
2088.191 v1 223
2108.022 v1 223
2120.722 v1 223
2132.784 v1 223
2148.796 v1 223
2195.051 v1 223
2216.45 v1 223
2226.202 v1 223
2239.702 v1 223
2272.249 v1 223
2014.569 v1 223
1705.663 v1 223
1691.416 v1 223
1666.74 v1 223
634.81 v1 223
661.666 v1 223
675.812 v1 223
704.943 v1 223
715.424 v1 223
766.639 v1 223
780.516 v1 223
819.173 v1 223
831.691 v1 223
842.31 v1 223
862.287 v1 223
875.477 v1 223
927.082 v1 223
957.848 v1 223
970.113 v1 223
991.637 v1 223
1504.695 v1 223
1513.501 v1 223
1524.493 v1 223
1539.667 v1 223
1560.879 v1 223
1572.801 v1 223
1584.877 v1 223
1600.088 v1 223
1611.568 v1 223
1624.151 v1 223
1640.482 v1 223
2306.079 v1 223
2332.093 v1 223
2353.113 v1 223
2405.984 v1 223
135.635 v1 224
163.978 v1 224
233.793 v1 224
254.987 v1 224
274.657 v1 224
324.489 v1 224
346.777 v1 224
370.954 v1 224
468.347 v1 224
507.361 v1 224
520.857 v1 224
532.065 v1 224
544.044 v1 224
559.005 v1 224
577.718 v1 224
596.041 v1 224
608.285 v1 224
623.817 v1 224
634.306 v1 224
645.448 v1 224
664.403 v1 224
676.771 v1 224
705.121 v1 224
718.074 v1 224
742.254 v1 224
762.244 v1 224
776.286 v1 224
103.779 v1 224
625.595 v1 223
72.703 v1 224
2992.829 v1 223
2437.089 v1 223
2449.414 v1 223
2461.201 v1 223
2472.482 v1 223
2489.224 v1 223
2550.973 v1 223
2565.58 v1 223
2575.734 v1 223
2588.742 v1 223
2612.293 v1 223
2636.565 v1 223
2651.009 v1 223
2684.819 v1 223
2721.222 v1 223
2732.474 v1 223
2746.866 v1 223
2761.52 v1 223
2775.61 v1 223
2783.989 v1 223
2794.149 v1 223
2850.356 v1 223
2868.921 v1 223
2901.038 v1 223
2938.329 v1 223
2957.187 v1 223
2966.628 v1 223
2976.149 v1 223
58.766 v1 224
802.373 v1 224
604.808 v1 223
571.082 v1 223
1705.579 v1 222
1715.635 v1 222
1725.067 v1 222
1733.806 v1 222
1750.895 v1 222
1760.937 v1 222
1772.247 v1 222
1784.712 v1 222
1802.615 v1 222
1816.255 v1 222
1856.713 v1 222
1867.706 v1 222
1695.973 v1 222
1887.294 v1 222
1945.943 v1 222
1965.159 v1 222
1982.37 v1 222
1992.816 v1 222
2002.184 v1 222
2010.253 v1 222
2022.807 v1 222
2050.224 v1 222
2073.68 v1 222
2087.897 v1 222
2103.867 v1 222
2119.598 v1 222
1913.995 v1 222
1682.252 v1 222
1669.77 v1 222
1656.622 v1 222
719.232 v1 222
735.44 v1 222
751.539 v1 222
770.375 v1 222
785.35 v1 222
820.998 v1 222
834.929 v1 222
849.513 v1 222
864.412 v1 222
875.109 v1 222
895.76 v1 222
956.839 v1 222
968.883 v1 222
980.051 v1 222
1504.322 v1 222
1512.095 v1 222
1520.726 v1 222
1530.199 v1 222
1542.626 v1 222
1557.193 v1 222
1570.914 v1 222
1582.478 v1 222
1595.186 v1 222
1605.605 v1 222
1614.586 v1 222
1623.989 v1 222
1635.783 v1 222
2131.673 v1 222
2143.951 v1 222
2160.277 v1 222
2185.268 v1 222
2773.397 v1 222
2781.394 v1 222
2789.104 v1 222
2853.94 v1 222
2871.079 v1 222
2900.173 v1 222
2920.346 v1 222
2948.583 v1 222
2959.023 v1 222
2968.171 v1 222
2977.297 v1 222
2987.178 v1 222
2999.544 v1 222
67.891 v1 223
97.967 v1 223
134.17 v1 223
169.585 v1 223
229.652 v1 223
249.601 v1 223
275.499 v1 223
328.966 v1 223
358.14 v1 223
504.255 v1 223
518.215 v1 223
530.363 v1 223
540.288 v1 223
551.139 v1 223
2763.378 v1 222
590.079 v1 223
2751.628 v1 222
2728.574 v1 222
2201.573 v1 222
2217.991 v1 222
2226.933 v1 222
2235.501 v1 222
2246.351 v1 222
2265.636 v1 222
2281.818 v1 222
2317.063 v1 222
2337.089 v1 222
2351.891 v1 222
2427.993 v1 222
2444.104 v1 222
2452.95 v1 222
2460.768 v1 222
2468.677 v1 222
2477.664 v1 222
2534.435 v1 222
2563.125 v1 222
2574.647 v1 222
2584.254 v1 222
2604.283 v1 222
2616.532 v1 222
2636.447 v1 222
2649.2 v1 222
2667.664 v1 222
2692.292 v1 222
2717.694 v1 222
2739.282 v1 222
824.942 v1 224
835.806 v1 224
858.231 v1 224
1900.941 v1 225
1916.522 v1 225
1935.75 v1 225
1950.437 v1 225
1970.232 v1 225
1984.823 v1 225
1997.632 v1 225
2011.144 v1 225
2052.521 v1 225
2081.475 v1 225
2096.307 v1 225
2115.068 v1 225
1886.256 v1 225
2124.213 v1 225
2149.453 v1 225
2177.127 v1 225
2193.138 v1 225
2212.393 v1 225
2221.489 v1 225
2230.437 v1 225
2261.949 v1 225
2286.561 v1 225
2310.003 v1 225
2328.409 v1 225
2350.886 v1 225
2382.751 v1 225
2137.489 v1 225
1869.226 v1 225
1855.91 v1 225
1840.983 v1 225
908.478 v1 225
954.952 v1 225
964.976 v1 225
975.139 v1 225
993.791 v1 225
1505.13 v1 225
1513.728 v1 225
1525.381 v1 225
1539.602 v1 225
1558.246 v1 225
